type_code,size_code,size_description,fc,sc,td,max_wt kgs/lit,max cbm,is_visible,remarks_required
20GP,20G0,GENERAL PURPOSE CONT.,2,0,G0,21727,33,TRUE,FALSE
20GP,20G1,GENERAL PURPOSE CONT.,2,0,G1,21727,33,TRUE,FALSE
20HR,20H0,INSULATED CONTAINER,2,0,H0,21727,33,TRUE,FALSE
20PF,20P1,FLAT (FIXED ENDS),2,0,P1,21727,33,TRUE,FALSE
20TD,20T3,TANK CONTAINER,2,0,T3,26000,0,FALSE,FALSE
20TD,20T4,TANK CONTAINER,2,0,T4,26000,0,FALSE,FALSE
20TD,20T5,TANK CONTAINER,2,0,T5,26000,0,FALSE,FALSE
20TD,20T6,TANK CONTAINER,2,0,T6,26000,0,FALSE,FALSE
20TG,20T7,TANK CONTAINER,2,0,T7,26000,0,FALSE,FALSE
20TG,20T8,TANK CONTAINER,2,0,T8,26000,0,FALSE,FALSE
20TN,20T0,TANK CONTAINER,2,0,T0,26000,0,FALSE,FALSE
20TN,20T1,TANK CONTAINER,2,0,T1,26000,0,FALSE,FALSE
20TN,20T2,TANK CONTAINER,2,0,T2,26000,0,FALSE,FALSE
22BU,22B0,BULK CONTAINER,2,2,B0,21727,33,TRUE,FALSE
22GP,22G0,GENERAL PURPOSE CONT.,2,2,G0,21727,33,TRUE,FALSE
22GP,22G1,GENERAL PURPOSE CONT.,2,2,G1,21727,33,TRUE,FALSE
22HR,22H0,INSULATED CONTAINER,2,2,H0,21727,33,TRUE,FALSE
22PC,22P3,FLAT (COLLAPSIBLE),2,2,P3,21727,33,FALSE,FALSE
22PC,22P8,FLAT (COLL.FLUSH FOLDING),2,2,P8,21727,33,FALSE,FALSE
22PC,22P9,FLAT (COLLAPSIBLE),2,2,P9,21727,33,FALSE,FALSE
22PF,22P1,FLAT (FIXED ENDS),2,2,P1,21727,33,FALSE,FALSE
22PF,22P7,FLAT (GENSET CARRIER),2,2,P7,21727,33,FALSE,FALSE
22RC,22R9,REEFER CONT.(NO FOOD),2,2,R9,27000,33,TRUE,TRUE
22RS,22R7,BUILT-IN GEN. F. POWER SPLY OF REEF,2,2,R7,27000,33,FALSE,FALSE
22RT,22R1,REEFER CONTAINER,2,2,R1,27000,33,TRUE,TRUE
22SN,22S1,NAMED CARGO CONTAINER,2,2,S1,27000,33,FALSE,FALSE
22TD,22T3,TANK CONTAINER,2,2,T3,26000,0,FALSE,FALSE
